id,college_name,college_slug,district,city,region
56,"Rizvi Education Society's Rizvi College of Engineering, Bandra, Mumbai",rizvi-education-societys-rizvi-college-of-engineering-bandra-mumbai,Mumbai,Bandra,Mumbai Region
57,"Terna Engineering College, Nerul, Navi Mumbai",terna-engineering-college-nerul-navi-mumbai,Mumbai,Mumbai,Mumbai Region
58,"Modern Education Society's College of Engineering, Pune",modern-education-societys-college-of-engineering-pune,Pune,Pune,Pune Region
59,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",vidya-pratishthans-kamalnayan-bajaj-institute-of-engineering--technology-baramati-dist-pune,Pune,Baramati,Pune Region
60,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",bharati-vidyapeeths-college-of-engineering-for-women-katraj-dhankawadi-pune,Pune,Pune,Pune Region
61,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",sanjivani-rural-education-societys-sanjivani-college-of-engineering-kopargaon,Ahmednagar,Kopargaon,Nashik / North Maharashtra
62,"Laxminarayan Institute of Technology, Nagpur",laxminarayan-institute-of-technology-nagpur,Nagpur,Nagpur,Vidarbha
63,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",n-y-s-s-s-datta-meghe-college-of-engineering-airoli-navi-mumbai,Mumbai,Mumbai,Mumbai Region
64,"JSPM Narhe Technical Campus, Pune.",jspm-narhe-technical-campus-pune,Pune,Narhe,Pune Region
65,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",mahavir-education-trusts-shah--anchor-kutchhi-engineering-college-mumbai,Mumbai,Mumbai,Mumbai Region
66,"Vidyavardhini's College of Engineering and Technology, Vasai",vidyavardhinis-college-of-engineering-and-technology-vasai,Palghar,Vasai,Mumbai Region
67,"Atharva College of Engineering, Malad (West), Mumbai",atharva-college-of-engineering-malad-west-mumbai,Mumbai,Mumbai,Mumbai Region
